Type,Bill #,PA #,PA Year,Subject,Date of Last History Action,Last History Action,Primary Sponsor
House Bill,4002,2,2025,"Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends title and secs. 2, 3, 4, 5, 6, 7, 8 & 12 of 2018 PA 338 (MCL 408.962 et seq.) & adds sec. 3a. ",2/25/25,assigned PA 2'25 with immediate effect,Jay DeBoyer
House Bill,4003,7,2025,"Highways: memorial; portion of US-131; designate as the ""Sgt. Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b. ",8/19/25,assigned PA 7'25 with immediate effect,Tom Kunse
House Bill,4044,7,2026,State: symbol; wood duck; designate as the official state duck. Creates new act. ,4/14/26,assigned PA 007'26,Alabas Farhat
House Bill,4045,52,2025,Civil procedure: civil actions; lawsuits for exercising rights to free expression; provide protections against. Creates new act. ,12/31/25,assigned PA 52'25,Kara Hope
House Bill,4046,8,2025,"Highways: memorial; portion of highway US-31; designate as the ""Trooper James E. Boland Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 11d.",8/19/25,assigned PA 8'25 with immediate effect,John Roth
House Bill,4047,11,2025,Civil procedure: civil actions; cause of action for media that falsely depicts an individual engaging in sexual conduct; provide for. Creates new act. ,8/26/25,assigned PA 11'25 with immediate effect,Matt Bierlein
House Bill,4048,12,2025,"Criminal procedure: sentencing guidelines; guidelines for dissemination of deep fake sexual images; enact. Amends sec. 17b, ch. XVII of 1927 PA 175 (MCL 777.17b).   TIE BAR WITH: HB 4047'25",8/26/25,assigned PA 12'25 with immediate effect,Penelope Tsernoglou
House Bill,4065,41,2025,Liquor: licenses; license to serve alcohol at certain college venues; allow. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).   TIE BAR WITH: HB 4595'25,12/31/25,assigned PA 41'25,Joseph Aragona
House Bill,4077,3,2026,"Health: medical examiners; process for medical certification of a death record; modify. Amends secs. 2804, 2843, 2843b, 2844 &amp; 16221 of 1978 PA 368 (MCL 333.2804 et seq.). ",3/18/26,assigned PA 003'26 with immediate effect,Julie Rogers
House Bill,4078,4,2026,Health: medical examiners; requirements for an investigation of the cause and manner of death; modify. Amends secs. 2 &amp; 3 of 1953 PA 181 (MCL 52.202 &amp; 52.203).   TIE BAR WITH: HB 4077'25,3/18/26,assigned PA 004'26 with immediate effect,Mike Mueller
House Bill,4090,6,2025,Property: conveyance of state property; transfer of certain state-owned property in Detroit; provide for. Creates land transfer act. ,7/1/25,assigned PA 6'25 with immediate effect,Alabas Farhat
House Bill,4098,53,2025,Property tax: tax tribunal; methods for tax tribunal to hold hearings; expand to include electronically. Amends secs. 26 & 34 of 1973 PA 186 (MCL 205.726 & 205.734).   TIE BAR WITH: HB 4099'25,12/31/25,assigned PA 53'25,Pat Outman
House Bill,4099,54,2025,Civil rights: open meetings; electronic hearings of the tax tribunal; permit under the open meetings act. Amends sec. 3a of 1976 PA 267 (MCL 15.263a).   TIE BAR WITH: HB 4098'25,12/31/25,assigned PA 54'25,Steve Frisbie
House Bill,4122,51,2025,"Food: cottage food operation; certain requirements for cottage food operations and cottage food products; modify. Amends secs. 1105, 1111 & 4102 of 2000 PA 92 (MCL 289.1105 et seq.). ",12/31/25,assigned PA 51'25,Gregory Alexander
House Bill,4141,2,2026,Education: students; a wireless communications device policy: require the board of a school district or board of directors of a public school academy to implement. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1303a &amp; repeals sec. 1303 of 1976 PA 451 (MCL 380.1303).   TIE BAR WITH: SB 0495'25,2/18/26,assigned PA 002'26 with immediate effect,Mark Tisdel
House Bill,4161,14,2025,"Appropriations: omnibus; appropriations for multiple departments and branches for October 1 to 8, 2025; provide for. Creates appropriation act. ",10/1/25,assigned PA 14'25 with immediate effect,Ann Bollin
House Bill,4180,17,2025,"Sales tax: exemptions; motor fuel sales; exempt. Amends secs. 6a & 25 of 1933 PA 167 (MCL 205.56a & 205.75) & adds sec. 4gg.   TIE BAR WITH: HB 4181'25, HB 4182'25, HB 4183'25, SB 0578'25",10/8/25,assigned PA 17'25 with immediate effect,Donni Steele
House Bill,4181,18,2025,"Streamline sales and use tax: exemptions; tax on motor fuel; exclude. Amends secs. 3 & 5 of 2004 PA 175 (MCL 205.173 & 205.175).   TIE BAR WITH: HB 4180'25, HB 4182'25, HB 4183'25, SB 0578'25",10/8/25,assigned PA 18'25 with immediate effect,Steve Frisbie
House Bill,4182,19,2025,"Use tax: exemptions; motor fuel sales; exempt. Amends sec. 21 of 1937 PA 94 (MCL 205.111) & adds sec. 4gg.  TIE BAR WITH: HB 4180'25, HB 4181'25, HB 4183'25, SB 0578'25",10/8/25,assigned PA 19'25 with immediate effect,Bradley Slagh
House Bill,4183,20,2025,"Transportation: motor fuel tax; motor fuel tax; increase and expand applicability. Amends sec. 8 of 2000 PA 403 (MCL 207.1008).   TIE BAR WITH: HB 4180'25, HB 4181'25, HB 4182'25, SB 0578'25",10/8/25,assigned PA 20'25 with immediate effect,Tom Kunse
House Bill,4262,49,2025,"Consumer protection: other; attorney general investigations of the event online ticket sales act; provide for, and prescribe fines and remedies. Creates new act.   TIE BAR WITH: SB 0158'25",12/31/25,assigned PA 49'25,Mike Harris
House Bill,4282,40,2025,Liquor: licenses; license to sell alcoholic liquor for consumption on the premises of certain locations; modify. Amends sec. 513 of 1998 PA 58 (MCL 436.1513).   TIE BAR WITH: HB 4595'25,12/31/25,assigned PA 40'25,Matt Koleszar
House Bill,4285,48,2025,Education: curriculum; firearm safety instruction; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1163a. ,12/31/25,assigned PA 48'25,Curtis VanderWall
House Bill,4303,9,2026,Holidays: other; Chaldean American Month; establish. Creates new act. ,4/28/26,assigned PA 9'26 with immediate effect,Thomas Kuhn
House Bill,4345,5,2025,School aid: penalties; exception to minimum days of pupil instruction requirement for district closure during a declared state of emergency; provide for. Amends sec. 101 of 1979 PA 94 (MCL 388.1701). ,6/3/25,assigned PA 5'25 with immediate effect,Cameron Cavitt
House Bill,4392,21,2025,Appropriations: department of natural resources; appropriations from the natural resources trust fund; provide for. Creates appropriation act. ,10/8/25,assigned PA 21'25 with immediate effect,Ken Borton
House Bill,4401,47,2025,Natural resources: hunting; pheasant hunting licensing; eliminate sunset. Amends sec. 43525c of 1994 PA 451 (MCL 324.43525c). ,12/31/25,assigned PA 47'25 with immediate effect,Jaime Greene
House Bill,4403,9,2025,"Liquor: other; leasing, selling, and transferring portions of certain alternating proprietors under approval of commission; allow. Amends secs. 105 & 603 of 1998 PA 58 (MCL 436.1105 & 436.1603). ",8/19/25,assigned PA 9'25,Pauline Wendzel
House Bill,4420,32,2025,State management: funds; form to disclose legislatively directed spending items; create. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 364a.  TIE BAR WITH: SB 0596'25,12/2/25,assigned PA 32'25 with immediate effect,Tom Kunse
House Bill,4493,43,2025,Food: licensing; licensure exemptions; modify. Amends sec. 4105 of 2000 PA 92 (MCL 289.4105). ,12/31/25,assigned PA 43'25,Jamie Thompson
House Bill,4524,13,2025,"Property: recording; marketable record title act; revise. Amends title &amp; secs. 1, 1a, 2, 3, 4, 5, 6 &amp; 8 of 1945 PA 200 (MCL 565.101 et seq.) &amp; adds sec. 5a. ",9/30/25,assigned PA 13'25 with immediate effect,Douglas Wozniak
House Bill,4543,55,2025,Individual income tax: home heating credit; adjustments based on Detroit Consumer Price Index; change to United States Consumer Price Index. Amends sec. 527a of 1967 PA 281 (MCL 206.527a). ,12/31/25,assigned PA 55'25 with immediate effect,Bill Schuette
House Bill,4556,10,2026,Education: examinations; certain requirements concerning the Michigan merit examination; modify. Amends sec. 1279g of 1976 PA 451 (MCL 380.1279g). ,5/14/26,assigned PA 10'26 with immediate effect,Tom Kunse
House Bill,4557,11,2026,Education: examinations; certain requirements concerning the Michigan merit examination; modify. Amends secs. 22p &amp; 104c of 1979 PA 94 (MCL 388.1622p &amp; 388.1704c) &amp; repeals sec. 104b of 1979 PA 94 (MCL 388.1704b). ,5/14/26,assigned PA 11'26 with immediate effect,Matt Koleszar
House Bill,4572,16,2026,Appropriations: department of military and veterans affairs; appropriations for Selfridge Air National Guard Base for fiscal year 2025-2026; provide for. Creates appropriation act. ,6/2/26,assigned PA 16'26 with immediate effect,Ron Robinson
House Bill,4595,39,2025,Liquor: licenses; issuance of specially designated merchant license or specially designated distributor license; allow for certain locations. Amends sec. 533 of 1998 PA 58 (MCL 436.1533).   TIE BAR WITH: HB 4282'25,12/31/25,assigned PA 39'25,Rylee Linting
House Bill,4666,46,2025,"Insurance: life; reference to ""colored"" persons; eliminate. Amends sec. 2082 of 1956 PA 218 (MCL 500.2082). ",12/31/25,assigned PA 46'25,Brenda Carter
House Bill,4694,12,2026,"Local government: authorities; revisions to the recreational authorities act; provide for. Amends secs. 5, 7, 11 &amp; 21 of 2000 PA 321 (MCL 123.1135 et seq.) &amp; adds sec. 10.   TIE BAR WITH: HB 4695'25, HB 4798'25",5/14/26,assigned PA 12'26 with immediate effect,Gregory Markkanen
House Bill,4695,13,2026,Local government: authorities; revisions to the recreational authorities act; provide for. Amends secs. 1 &amp; 3 of 2000 PA 321 (MCL 123.1131 &amp; 123.1133).   TIE BAR WITH: HB 4694'25,5/14/26,assigned PA 13'26 with immediate effect,Gregory Markkanen
